最小支持度 0.0010
最小支持個數 5
[C01] 支持個數:501 支持度:0.0927
[C03] 支持個數:431 支持度:0.0797
[C05] 支持個數:450 支持度:0.0832
[C07] 支持個數:843 支持度:0.1559
[C11] 支持個數:70 支持度:0.0129
[C12] 支持個數:51 支持度:0.0094
[C22] 支持個數:47 支持度:0.0087
[C31] 支持個數:678 支持度:0.1254
[C32] 支持個數:401 支持度:0.0742
[C33] 支持個數:90 支持度:0.0166
[C34] 支持個數:104 支持度:0.0192
[C35] 支持個數:93 支持度:0.0172
[C37] 支持個數:418 支持度:0.0773
[C38] 支持個數:173 支持度:0.0320
[C39] 支持個數:266 支持度:0.0492
[C40] 支持個數:149 支持度:0.0276
[C43] 支持個數:372 支持度:0.0688
[C44] 支持個數:17 支持度:0.0031
[C45] 支持個數:143 支持度:0.0264
[C46] 支持個數:88 支持度:0.0163
[C90] 支持個數:20 支持度:0.0037
[S1] 支持個數:4090 支持度:0.7564
[S2] 支持個數:1317 支持度:0.2436
[A10] 支持個數:5 支持度:0.0009
[A11] 支持個數:10 支持度:0.0018
[A12] 支持個數:19 支持度:0.0035
[A13] 支持個數:31 支持度:0.0057
[A14] 支持個數:48 支持度:0.0089
[A15] 支持個數:76 支持度:0.0141
[A16] 支持個數:160 支持度:0.0296
[A17] 支持個數:197 支持度:0.0364
[A18] 支持個數:287 支持度:0.0531
[A19] 支持個數:284 支持度:0.0525
[A20] 支持個數:390 支持度:0.0721
[A21] 支持個數:711 支持度:0.1315
[A22] 支持個數:1029 支持度:0.1903
[A23] 支持個數:1222 支持度:0.2260
[A24] 支持個數:681 支持度:0.1259
[A25] 支持個數:219 支持度:0.0405
[A26] 支持個數:34 支持度:0.0063
[C01,S1] 支持個數:381 支持度:0.0705
[C01,S2] 支持個數:120 支持度:0.0222
[C03,S1] 支持個數:328 支持度:0.0607
[C03,S2] 支持個數:103 支持度:0.0190
[C05,S1] 支持個數:336 支持度:0.0621
[C05,S2] 支持個數:114 支持度:0.0211
[C07,S1] 支持個數:652 支持度:0.1206
[C07,S2] 支持個數:191 支持度:0.0353
[C11,S1] 支持個數:52 支持度:0.0096
[C11,S2] 支持個數:18 支持度:0.0033
[C12,S1] 支持個數:36 支持度:0.0067
[C12,S2] 支持個數:15 支持度:0.0028
[C22,S1] 支持個數:36 支持度:0.0067
[C22,S2] 支持個數:11 支持度:0.0020
[C31,S1] 支持個數:518 支持度:0.0958
[C31,S2] 支持個數:160 支持度:0.0296
[C32,S1] 支持個數:333 支持度:0.0616
[C32,S2] 支持個數:68 支持度:0.0126
[C33,S1] 支持個數:70 支持度:0.0129
[C33,S2] 支持個數:20 支持度:0.0037
[C34,S1] 支持個數:82 支持度:0.0152
[C34,S2] 支持個數:22 支持度:0.0041
[C35,S1] 支持個數:80 支持度:0.0148
[C35,S2] 支持個數:13 支持度:0.0024
[C37,S1] 支持個數:293 支持度:0.0542
[C37,S2] 支持個數:125 支持度:0.0231
[C38,S1] 支持個數:127 支持度:0.0235
[C38,S2] 支持個數:46 支持度:0.0085
[C39,S1] 支持個數:190 支持度:0.0351
[C39,S2] 支持個數:76 支持度:0.0141
[C40,S1] 支持個數:100 支持度:0.0185
[C40,S2] 支持個數:49 支持度:0.0091
[C43,S1] 支持個數:264 支持度:0.0488
[C43,S2] 支持個數:108 支持度:0.0200
[C44,S1] 支持個數:13 支持度:0.0024
[C45,S1] 支持個數:113 支持度:0.0209
[C45,S2] 支持個數:30 支持度:0.0055
[C46,S1] 支持個數:67 支持度:0.0124
[C46,S2] 支持個數:21 支持度:0.0039
[C90,S1] 支持個數:17 支持度:0.0031
[C01,A15] 支持個數:5 支持度:0.0009
[C01,A16] 支持個數:6 支持度:0.0011
[C01,A17] 支持個數:13 支持度:0.0024
[C01,A18] 支持個數:23 支持度:0.0043
[C01,A19] 支持個數:21 支持度:0.0039
[C01,A20] 支持個數:31 支持度:0.0057
[C01,A21] 支持個數:54 支持度:0.0100
[C01,A22] 支持個數:83 支持度:0.0154
[C01,A23] 支持個數:116 支持度:0.0215
[C01,A24] 支持個數:99 支持度:0.0183
[C01,A25] 支持個數:32 支持度:0.0059
[C01,A26] 支持個數:10 支持度:0.0018
[C03,A16] 支持個數:5 支持度:0.0009
[C03,A17] 支持個數:13 支持度:0.0024
[C03,A18] 支持個數:23 支持度:0.0043
[C03,A19] 支持個數:21 支持度:0.0039
[C03,A20] 支持個數:23 支持度:0.0043
[C03,A21] 支持個數:66 支持度:0.0122
[C03,A22] 支持個數:79 支持度:0.0146
[C03,A23] 支持個數:112 支持度:0.0207
[C03,A24] 支持個數:60 支持度:0.0111
[C03,A25] 支持個數:17 支持度:0.0031
[C05,A15] 支持個數:6 支持度:0.0011
[C05,A16] 支持個數:8 支持度:0.0015
[C05,A17] 支持個數:19 支持度:0.0035
[C05,A18] 支持個數:22 支持度:0.0041
[C05,A19] 支持個數:20 支持度:0.0037
[C05,A20] 支持個數:34 支持度:0.0063
[C05,A21] 支持個數:52 支持度:0.0096
