程や 0.0010
程や计 0
[C01] や计:73 や:0.1115
[C03] や计:77 や:0.1176
[C05] や计:42 や:0.0641
[C07] や计:66 や:0.1008
[C11] や计:6 や:0.0092
[C12] や计:14 や:0.0214
[C22] や计:8 や:0.0122
[C31] や计:92 や:0.1405
[C32] や计:52 や:0.0794
[C33] や计:15 や:0.0229
[C34] や计:12 や:0.0183
[C35] や计:16 や:0.0244
[C37] や计:32 や:0.0489
[C38] や计:25 や:0.0382
[C39] や计:25 や:0.0382
[C40] や计:28 や:0.0427
[C43] や计:37 や:0.0565
[C44] や计:3 や:0.0046
[C45] や计:21 や:0.0321
[C46] や计:9 や:0.0137
[C90] や计:2 や:0.0031
[S1] や计:358 や:0.5466
[S2] や计:297 や:0.4534
[A02] や计:15 や:0.0229
[A03] や计:1 や:0.0015
[A04] や计:1 や:0.0015
[A05] や计:2 や:0.0031
[A06] や计:2 や:0.0031
[A07] や计:4 や:0.0061
[A08] や计:2 や:0.0031
[A09] や计:4 や:0.0061
[A10] や计:5 や:0.0076
[A11] や计:5 や:0.0076
[A12] や计:12 や:0.0183
[A13] や计:16 や:0.0244
[A14] や计:30 や:0.0458
[A15] や计:44 や:0.0672
[A16] や计:39 や:0.0595
[A17] や计:55 や:0.0840
[A18] や计:57 や:0.0870
[A19] や计:80 や:0.1221
[A20] や计:65 や:0.0992
[A21] や计:88 や:0.1344
[A22] や计:70 や:0.1069
[A23] や计:38 や:0.0580
[A24] や计:17 や:0.0260
[A25] や计:3 や:0.0046
[C01,S1] や计:34 や:0.0519
[C01,S2] や计:39 や:0.0595
[C03,S1] や计:44 や:0.0672
[C03,S2] や计:33 や:0.0504
[C05,S1] や计:25 や:0.0382
[C05,S2] や计:17 や:0.0260
[C07,S1] や计:35 や:0.0534
[C07,S2] や计:31 や:0.0473
[C11,S1] や计:4 や:0.0061
[C11,S2] や计:2 や:0.0031
[C12,S1] や计:8 や:0.0122
[C12,S2] や计:6 や:0.0092
[C22,S1] や计:4 や:0.0061
[C22,S2] や计:4 や:0.0061
[C31,S1] や计:51 や:0.0779
[C31,S2] や计:41 や:0.0626
[C32,S1] や计:27 や:0.0412
[C32,S2] や计:25 や:0.0382
[C33,S1] や计:10 や:0.0153
[C33,S2] や计:5 や:0.0076
[C34,S1] や计:10 や:0.0153
[C34,S2] や计:2 や:0.0031
[C35,S1] や计:10 や:0.0153
[C35,S2] や计:6 や:0.0092
[C37,S1] や计:17 や:0.0260
[C37,S2] や计:15 や:0.0229
[C38,S1] や计:11 や:0.0168
[C38,S2] や计:14 や:0.0214
[C39,S1] や计:13 や:0.0198
[C39,S2] や计:12 や:0.0183
[C40,S1] や计:18 や:0.0275
[C40,S2] や计:10 や:0.0153
[C43,S1] や计:16 や:0.0244
[C43,S2] や计:21 や:0.0321
[C44,S1] や计:1 や:0.0015
[C44,S2] や计:2 や:0.0031
[C45,S1] や计:10 や:0.0153
[C45,S2] や计:11 や:0.0168
[C46,S1] や计:8 や:0.0122
[C46,S2] や计:1 や:0.0015
[C90,S1] や计:2 や:0.0031
[C90,S2] や计:0 や:0.0000
[C01,A02] や计:3 や:0.0046
[C01,A03] や计:0 や:0.0000
[C01,A04] や计:0 や:0.0000
[C01,A05] や计:0 や:0.0000
[C01,A06] や计:0 や:0.0000
[C01,A07] や计:0 や:0.0000
[C01,A08] や计:0 や:0.0000
[C01,A09] や计:0 や:0.0000
[C01,A10] や计:0 や:0.0000
[C01,A11] や计:0 や:0.0000
[C01,A12] や计:3 や:0.0046
[C01,A13] や计:1 や:0.0015
[C01,A14] や计:3 や:0.0046
[C01,A15] や计:3 や:0.0046
[C01,A16] や计:3 や:0.0046
[C01,A17] や计:7 や:0.0107
[C01,A18] や计:4 や:0.0061
[C01,A19] や计:13 や:0.0198
[C01,A20] や计:9 や:0.0137
[C01,A21] や计:13 や:0.0198
[C01,A22] や计:6 や:0.0092
[C01,A23] や计:2 や:0.0031
[C01,A24] や计:2 や:0.0031
[C01,A25] や计:1 や:0.0015
[C03,A02] や计:2 や:0.0031
[C03,A03] や计:0 や:0.0000
[C03,A04] や计:0 や:0.0000
[C03,A05] や计:1 や:0.0015
[C03,A06] や计:1 や:0.0015
[C03,A07] や计:0 や:0.0000
[C03,A08] や计:0 や:0.0000
[C03,A09] や计:0 や:0.0000
[C03,A10] や计:1 や:0.0015
[C03,A11] や计:0 や:0.0000
[C03,A12] や计:1 や:0.0015
[C03,A13] や计:4 や:0.0061
[C03,A14] や计:1 や:0.0015
[C03,A15] や计:5 や:0.0076
[C03,A16] や计:3 や:0.0046
[C03,A17] や计:9 や:0.0137
[C03,A18] や计:5 や:0.0076
[C03,A19] や计:11 や:0.0168
[C03,A20] や计:11 や:0.0168
[C03,A21] や计:7 や:0.0107
[C03,A22] や计:6 や:0.0092
[C03,A23] や计:5 や:0.0076
[C03,A24] や计:4 や:0.0061
[C03,A25] や计:0 や:0.0000
[C05,A02] や计:1 や:0.0015
[C05,A03] や计:0 や:0.0000
[C05,A04] や计:0 や:0.0000
[C05,A05] や计:0 や:0.0000
[C05,A06] や计:0 や:0.0000
[C05,A07] や计:1 や:0.0015
[C05,A08] や计:0 や:0.0000
[C05,A09] や计:1 や:0.0015
[C05,A10] や计:0 や:0.0000
[C05,A11] や计:0 や:0.0000
[C05,A12] や计:0 や:0.0000
[C05,A13] や计:1 や:0.0015
[C05,A14] や计:4 や:0.0061
[C05,A15] や计:0 や:0.0000
[C05,A16] や计:1 や:0.0015
[C05,A17] や计:6 や:0.0092
[C05,A18] や计:6 や:0.0092
[C05,A19] や计:3 や:0.0046
[C05,A20] や计:1 や:0.0015
[C05,A21] や计:9 や:0.0137
[C05,A22] や计:6 や:0.0092
[C05,A23] や计:2 や:0.0031
[C05,A24] や计:0 や:0.0000
[C05,A25] や计:0 や:0.0000
[C07,A02] や计:1 や:0.0015
[C07,A03] や计:0 や:0.0000
[C07,A04] や计:1 や:0.0015
[C07,A05] や计:0 や:0.0000
[C07,A06] や计:0 や:0.0000
[C07,A07] や计:0 や:0.0000
[C07,A08] や计:0 や:0.0000
[C07,A09] や计:0 や:0.0000
[C07,A10] や计:1 や:0.0015
[C07,A11] や计:0 や:0.0000
[C07,A12] や计:1 や:0.0015
[C07,A13] や计:2 や:0.0031
[C07,A14] や计:2 や:0.0031
[C07,A15] や计:4 や:0.0061
[C07,A16] や计:6 や:0.0092
[C07,A17] や计:5 や:0.0076
[C07,A18] や计:7 や:0.0107
[C07,A19] や计:12 や:0.0183
[C07,A20] や计:6 や:0.0092
[C07,A21] や计:4 や:0.0061
[C07,A22] や计:5 や:0.0076
[C07,A23] や计:5 や:0.0076
[C07,A24] や计:3 や:0.0046
[C07,A25] や计:1 や:0.0015
[C11,A02] や计:0 や:0.0000
[C11,A03] や计:0 や:0.0000
[C11,A04] や计:0 や:0.0000
[C11,A05] や计:0 や:0.0000
[C11,A06] や计:0 や:0.0000
[C11,A07] や计:0 や:0.0000
[C11,A08] や计:0 や:0.0000
[C11,A09] や计:0 や:0.0000
[C11,A10] や计:0 や:0.0000
[C11,A11] や计:0 や:0.0000
[C11,A12] や计:0 や:0.0000
[C11,A13] や计:1 や:0.0015
[C11,A14] や计:0 や:0.0000
[C11,A15] や计:1 や:0.0015
[C11,A16] や计:0 や:0.0000
[C11,A17] や计:2 や:0.0031
[C11,A18] や计:0 や:0.0000
[C11,A19] や计:0 や:0.0000
[C11,A20] や计:0 や:0.0000
[C11,A21] や计:1 や:0.0015
[C11,A22] や计:1 や:0.0015
[C11,A23] や计:0 や:0.0000
[C11,A24] や计:0 や:0.0000
[C11,A25] や计:0 や:0.0000
[C12,A02] や计:0 や:0.0000
[C12,A03] や计:0 や:0.0000
[C12,A04] や计:0 や:0.0000
[C12,A05] や计:1 や:0.0015
[C12,A06] や计:0 や:0.0000
[C12,A07] や计:0 や:0.0000
[C12,A08] や计:0 や:0.0000
[C12,A09] や计:0 や:0.0000
[C12,A10] や计:0 や:0.0000
[C12,A11] や计:0 や:0.0000
[C12,A12] や计:1 や:0.0015
[C12,A13] や计:2 や:0.0031
[C12,A14] や计:0 や:0.0000
[C12,A15] や计:0 や:0.0000
[C12,A16] や计:5 や:0.0076
[C12,A17] や计:1 や:0.0015
[C12,A18] や计:0 や:0.0000
[C12,A19] や计:1 や:0.0015
[C12,A20] や计:0 や:0.0000
[C12,A21] や计:1 や:0.0015
[C12,A22] や计:1 や:0.0015
[C12,A23] や计:1 や:0.0015
[C12,A24] や计:0 や:0.0000
[C12,A25] や计:0 や:0.0000
[C22,A02] や计:0 や:0.0000
[C22,A03] や计:0 や:0.0000
[C22,A04] や计:0 や:0.0000
[C22,A05] や计:0 や:0.0000
[C22,A06] や计:0 や:0.0000
[C22,A07] や计:0 や:0.0000
[C22,A08] や计:0 や:0.0000
[C22,A09] や计:0 や:0.0000
[C22,A10] や计:0 や:0.0000
[C22,A11] や计:0 や:0.0000
[C22,A12] や计:0 や:0.0000
[C22,A13] や计:0 や:0.0000
[C22,A14] や计:1 や:0.0015
[C22,A15] や计:0 や:0.0000
[C22,A16] や计:0 や:0.0000
[C22,A17] や计:0 や:0.0000
[C22,A18] や计:1 や:0.0015
[C22,A19] や计:2 や:0.0031
[C22,A20] や计:1 や:0.0015
[C22,A21] や计:2 や:0.0031
[C22,A22] や计:1 や:0.0015
[C22,A23] や计:0 や:0.0000
[C22,A24] や计:0 や:0.0000
[C22,A25] や计:0 や:0.0000
[C31,A02] や计:4 や:0.0061
[C31,A03] や计:1 や:0.0015
[C31,A04] や计:0 や:0.0000
[C31,A05] や计:0 や:0.0000
