city,sex,age_code
C01,S1,A19
C01,S1,A20
C01,S1,A22
C01,S1,A19
C01,S1,A22
C01,S1,A20
C01,S1,A21
C01,S1,A20
C01,S1,A20
C03,S1,A17
C03,S1,A21
C03,S1,A16
C03,S1,A21
C03,S1,A16
C03,S1,A20
C03,S1,A17
C03,S1,A23
C07,S1,A16
C07,S1,A21
C07,S1,A17
C11,S1,A21
C11,S1,A21
C11,S1,A21
C11,S1,A21
C11,S1,A22
C11,S1,A22
C11,S1,A21
C11,S1,A23
C11,S1,A21
C11,S1,A22
C11,S1,A22
C31,S1,A17
C31,S2,A20
C31,S1,A20
C31,S1,A22
C31,S1,A18
C31,S1,A20
C31,S1,A22
C31,S1,A22
C31,S1,A20
C31,S1,A22
C31,S1,A23
C31,S1,A23
C31,S1,A20
C31,S1,A20
C31,S1,A21
C31,S1,A22
C31,S1,A23
C31,S1,A23
C31,S1,A24
C31,S2,A20
C31,S1,A20
C31,S1,A20
C31,S1,A22
C31,S1,A18
C31,S1,A20
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A22
C31,S1,A22
C31,S1,A22
C31,S1,A20
C31,S1,A20
C31,S1,A20
C31,S1,A20
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A22
C31,S1,A22
C31,S1,A22
C31,S1,A23
C31,S1,A24
C31,S1,A21
C31,S1,A23
C31,S1,A24
C31,S2,A22
C31,S1,A21
C31,S1,A22
C31,S1,A19
C31,S1,A22
C31,S1,A22
C31,S1,A19
C31,S1,A21
C31,S1,A21
C31,S1,A22
C31,S1,A23
C31,S1,A23
C31,S1,A19
C31,S1,A20
C31,S1,A20
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A21
C31,S1,A22
C31,S1,A22
C31,S2,A23
C31,S1,A23
C31,S1,A19
C31,S1,A21
C31,S1,A23
C31,S1,A21
C32,S1,A21
C32,S1,A21
C32,S1,A23
C32,S1,A23
C32,S1,A19
C32,S1,A21
C32,S1,A19
C32,S1,A21
C32,S1,A21
C32,S1,A21
C32,S1,A22
C32,S1,A22
C32,S1,A24
C32,S1,A20
C32,S1,A21
C32,S1,A23
C32,S1,A20
C33,S1,A23
C33,S1,A24
C33,S1,A24
C33,S1,A18
C33,S1,A23
C33,S1,A19
C33,S1,A19
C33,S1,A22
C34,S1,A16
C34,S1,A20
C34,S1,A21
C35,S1,A20
C35,S1,A21
C35,S1,A20
C35,S1,A20
C35,S1,A20
C35,S1,A21
C35,S1,A22
C35,S1,A23
C35,S1,A22
C35,S1,A19
C35,S1,A20
C35,S1,A23
C35,S2,A23
C37,S1,A17
C37,S1,A21
C38,S1,A18
C38,S1,A21
C39,S1,A23
C43,S1,A18
C43,S1,A16
C43,S1,A18
C44,S1,A19
C45,S2,A20
C45,S1,A20
C45,S1,A21
C45,S1,A15
C46,S1,A23
C01,S1,A25
C01,S1,A21
C01,S1,A21
C01,S2,A22
C01,S1,A22
C01,S1,A22
C01,S1,A23
C01,S1,A24
C01,S1,A20
C01,S1,A21
C01,S1,A23
C03,S1,A22
C03,S1,A18
C03,S1,A21
C03,S1,A22
C03,S1,A18
C03,S1,A21
C05,S1,A17
C05,S1,A19
C07,S2,A18
C07,S1,A19
C07,S1,A19
C11,S1,A20
C11,S1,A22
C11,S1,A22
C11,S2,A23
C11,S1,A22
C11,S1,A23
C11,S1,A21
C11,S1,A23
C11,S1,A20
C11,S1,A21
C11,S1,A21
C11,S1,A22
C12,S1,A22
C31,S1,A20
C31,S2,A21
C31,S1,A21
C31,S1,A23
